periodo;codigo;nome;turma;siape;horário;matricula;nota;situação
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M56 (19/02/2018 - 07/07/2018);20180002081;-;DESISTENCIA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (19/02/2018 - 07/07/2018);20180002081;-;DESISTENCIA
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (19/02/2018 - 28/04/2018);20180001360;-;DESISTENCIA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;1912054-2;36M56 (19/02/2018 - 07/07/2018);20180001360;-;DESISTENCIA
1;ECT2103;CÁLCULO I;1;1091102-4;2356M34 (30/04/2018 - 07/07/2018);20180001360;-;DESISTENCIA
1;ECT2104;QUÍMICA GERAL;01A;1255011-8,1481705-7;25M56  3T12 (19/02/2018 - 07/07/2018);20180001360;-;DESISTENCIA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M56 (19/02/2018 - 07/07/2018);20180001360;-;DESISTENCIA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (19/02/2018 - 07/07/2018);20180001360;-;DESISTENCIA
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (19/02/2018 - 28/04/2018);20180002500;-;DESISTENCIA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;1912054-2;36M56 (19/02/2018 - 07/07/2018);20180002500;-;DESISTENCIA
1;ECT2103;CÁLCULO I;1;1091102-4;2356M34 (30/04/2018 - 07/07/2018);20180002500;-;DESISTENCIA
1;ECT2104;QUÍMICA GERAL;01A;1255011-8,1481705-7;25M56  3T12 (19/02/2018 - 07/07/2018);20180002500;-;DESISTENCIA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M56 (19/02/2018 - 07/07/2018);20180002500;-;DESISTENCIA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (19/02/2018 - 07/07/2018);20180002500;-;DESISTENCIA
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (19/02/2018 - 28/04/2018);20180002223;-;EXCLUIDA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;1912054-2;36M56 (19/02/2018 - 07/07/2018);20180002223;-;EXCLUIDA
1;ECT2103;CÁLCULO I;1;1091102-4;2356M34 (30/04/2018 - 07/07/2018);20180002223;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;01A;1481705-7,1255011-8;25M56  3T12 (19/02/2018 - 07/07/2018);20180002223;-;EXCLUIDA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M56 (19/02/2018 - 07/07/2018);20180002223;-;EXCLUIDA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (19/02/2018 - 07/07/2018);20180002223;-;DESISTENCIA
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (19/02/2018 - 28/04/2018);20180002401;-;DESISTENCIA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;1912054-2;36M56 (19/02/2018 - 07/07/2018);20180002401;-;DESISTENCIA
1;ECT2103;CÁLCULO I;1;1091102-4;2356M34 (30/04/2018 - 07/07/2018);20180002401;-;DESISTENCIA
1;ECT2104;QUÍMICA GERAL;01A;1481705-7,1255011-8;25M56  3T12 (19/02/2018 - 07/07/2018);20180002401;7.10;APROVADO
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M56 (19/02/2018 - 07/07/2018);20180002401;5.90;APROVADO POR NOTA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (19/02/2018 - 07/07/2018);20180002401;3.20;REPROVADO
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (19/02/2018 - 28/04/2018);20180002125;-;DESISTENCIA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;1912054-2;36M56 (19/02/2018 - 07/07/2018);20180002125;-;DESISTENCIA
1;ECT2103;CÁLCULO I;1;1091102-4;2356M34 (30/04/2018 - 07/07/2018);20180002125;-;DESISTENCIA
