"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57627297";"05A";"5752285";;;"57595";"GRADUAÇÃO";"Campus Central";"ECT";"2018";"2";"2018-08-13";"2018-11-10";"4M234 (13/08/2018 - 10/11/2018)";"0";"2";"REGULAR";"false";;"false";"57627296";;"EXCLUÍDA";;"Presencial"
"57627299";"06A";"5756351";;;"57595";"GRADUAÇÃO";"Campus Central";"ECT";"2018";"2";"2018-08-13";"2018-11-10";"4T345 (13/08/2018 - 10/11/2018)";"0";"2";"REGULAR";"false";;"false";"57627298";;"EXCLUÍDA";;"Presencial"
"57627301";"07A";"5752285";;;"57595";"GRADUAÇÃO";"Campus Central";"Lab.Física";"2018";"2";"2018-08-13";"2018-11-24";"6M234 (13/08/2018 - 24/11/2018)";"25";"25";"REGULAR";"false";;"false";"57627300";;"ABERTA";;"Presencial"
"57627303";"08A";"5756351";;;"57595";"GRADUAÇÃO";"Campus Central";"ECT";"2018";"2";"2018-08-13";"2018-11-24";"6T345 (13/08/2018 - 24/11/2018)";"0";"2";"REGULAR";"false";;"false";"57627302";;"EXCLUÍDA";;"Presencial"
"57627309";"01A";"5752285";;;"57596";"GRADUAÇÃO";"Campus Central";"Lab.Física";"2018";"2";"2018-08-13";"2018-11-10";"2T234 (13/08/2018 - 10/11/2018)";"27";"28";"REGULAR";"false";;"false";"57627308";;"ABERTA";;"Presencial"
"57627311";"02A";"5752285";;;"57596";"GRADUAÇÃO";"Campus Central";"Lab.Física";"2018";"2";"2018-08-13";"2018-11-10";"3T234 (13/08/2018 - 10/11/2018)";"14";"28";"REGULAR";"false";;"false";"57627310";;"ABERTA";;"Presencial"
"57627313";"03A";"5757556";;;"57596";"GRADUAÇÃO";"Campus Central";"Lab.Física";"2018";"2";"2018-08-13";"2018-11-10";"5T234 (13/08/2018 - 10/11/2018)";"42";"28";"REGULAR";"false";;"false";"57627312";;"ABERTA";;"Presencial"
"57627315";"04A";"5757556";;;"57596";"GRADUAÇÃO";"Campus Central";"Lab.Física";"2018";"2";"2018-08-13";"2018-11-24";"6T234 (13/08/2018 - 24/11/2018)";"51";"28";"REGULAR";"false";;"false";"57627314";;"ABERTA";;"Presencial"
"57627317";"05A";"5752751";;;"57596";"GRADUAÇÃO";"Campus Central";"Lab.Física";"2018";"2";"2018-08-13";"2018-11-10";"7M456 (13/08/2018 - 10/11/2018)";"33";"28";"REGULAR";"false";;"false";"57627316";;"ABERTA";;"Presencial"
"57627319";"06A";"5752751";;;"57596";"GRADUAÇÃO";"Campus Central";"Lab.Física";"2018";"2";"2018-08-13";"2018-11-10";"7T123 (13/08/2018 - 10/11/2018)";"25";"28";"REGULAR";"false";;"false";"57627318";;"ABERTA";;"Presencial"
